sample,BTG3,CD69,CXCR1,CXCR2,FCGR3A,JUN,STEAP4,groups
8822 EDTA val T0,5.44666666666667,5.84666666666667,-3.25333333333333,-2.08333333333333,-4.10333333333333,1.98666666666667,-1.59333333333333,1
8827 EDTA val T0,5.26333333333333,4.89333333333333,-2.29666666666667,-1.14666666666667,-3.86666666666667,2.41333333333333,-0.756666666666667,1
8828 EDTA val T0,5.16333333333333,5.18333333333333,-2.59666666666667,-1.35666666666667,-4.75666666666667,2.81333333333333,-0.906666666666668,1
8829 EDTA val T0,5.56333333333333,5.17333333333333,-2.48666666666667,-1.15666666666667,-3.40666666666667,2.00333333333333,-0.966666666666667,1
8830 EDTA val T0,5.23666666666667,5.01666666666667,-2.14333333333333,-0.923333333333333,-3.85333333333333,2.63666666666667,-0.973333333333333,1
8831 EDTA val T0,5.43333333333333,5.26333333333333,-2.69666666666667,-1.60666666666667,-3.87666666666667,2.19333333333333,-1.09666666666667,1
8832 EDTA val T0,4.72666666666667,3.51666666666667,-1.93333333333333,-0.283333333333334,-3.10333333333333,2.70666666666667,-0.123333333333334,1
8833 EDTA val T0,4.88,4.65,-2.45,-1.09,-4.03,2.65,-0.749999999999998,1
8834 EDTA val T0,5.16666666666667,5.49666666666667,-1.79333333333333,-0.563333333333332,-3.34333333333333,1.30666666666667,0.196666666666668,1
1_EDTA pre T2,6.77666666666667,6.27666666666667,-0.103333333333331,-0.393333333333331,-2.54333333333333,3.33666666666667,0.986666666666669,1
2_EDTA pre T2,6.45,6.31,-1.06,-0.97,-2.92,3.44,0.28,1
3_EDTA pre T2,6.75666666666667,5.67666666666667,-0.843333333333332,-0.683333333333332,-2.36333333333333,3.90666666666667,0.166666666666668,1
4_EDTA pre T2,5.70666666666667,5.80666666666667,-0.183333333333334,-0.283333333333334,-1.95333333333333,3.04666666666667,0.766666666666666,1
5_EDTA pre T2,6.63666666666667,5.56666666666667,-1.31333333333333,-1.08333333333333,-2.83333333333333,3.43666666666667,-0.273333333333333,1
6_EDTA pre T2,7.03333333333333,6.12333333333333,-0.816666666666667,-1.07666666666667,-2.60666666666667,3.90333333333333,0.413333333333333,1
7_EDTA pre T2,6.35,5.49,-0.59,-0.8,-2.19,3.07,0.55,1
1_EDTA pre T6,5.41666666666667,5.14666666666667,0.336666666666667,0.586666666666667,-2.27333333333333,1.13666666666667,1.77666666666667,1
2_EDTA pre T6,5.16666666666667,5.39666666666667,-0.403333333333333,-0.0833333333333329,-2.40333333333333,1.22666666666667,1.68666666666667,1
3_EDTA pre T6,6.08,5.53,-0.149999999999999,0.170000000000001,-2.26,1.84,1.46,1
4_EDTA pre T6,4.20666666666667,5.45666666666667,0.0966666666666671,0.0666666666666671,-1.75333333333333,0.316666666666667,1.60666666666667,1
5_EDTA pre T6,5.61333333333333,5.12333333333333,-0.606666666666666,-0.156666666666666,-2.11666666666667,2.47333333333333,0.743333333333334,1
6_EDTA pre T6,5.80333333333333,5.36333333333333,-0.296666666666667,-0.446666666666667,-2.40666666666667,1.65333333333333,1.11333333333333,1
7_EDTA pre T6,5.2,5.2,0.16,0.11,-1.64,1.55,1.53,1
1_EDTA pre T24,3.57,3.68,2.57,2.92,-0.390000000000001,-0.840000000000001,3.78,0
2_EDTA pre T24,3.36666666666667,4.33666666666667,1.84666666666667,3.00666666666667,-0.0133333333333336,-0.643333333333334,3.42666666666667,0
3_EDTA pre T24,4.23666666666667,3.10666666666667,1.37666666666667,2.05666666666667,-0.753333333333332,-0.273333333333332,2.72666666666667,0
4_EDTA pre T24,2.90666666666667,4.73666666666667,2.63666666666667,3.28666666666667,0.636666666666667,-1.26333333333333,4.07666666666667,0
5_EDTA pre T24,3.77333333333333,3.11333333333333,0.963333333333332,1.95333333333333,-0.796666666666668,-0.0266666666666679,1.91333333333333,0
7_EDTA pre T24,3.56,3.64,1.84,2.31,-0.109999999999998,-0.799999999999998,2.84,0
1 EDTA val T24,2.84,3.26,0.729999999999999,2.02,-1.45,-2.15,1.6,0
2 EDTA val T24,2.89666666666667,4.05666666666667,0.966666666666668,2.67666666666667,0.226666666666668,-0.713333333333332,2.57666666666667,0
3 EDTA val T24,1.88666666666666,1.59666666666666,0.976666666666665,0.136666666666665,-1.52333333333334,-2.67333333333334,1.16666666666666,0
4 EDTA val T24,1.17,2.22,7.07,1.11,-0.890000000000002,-2.78,1.41,0
6 EDTA val T24,2.85,2.96,0.0,1.9,-1.77,-2.77,1.39,0
7 EDTA val T24,2.05,2.07,0.48,1.57,-1.78,-2.01,0.93,0
8 EDTA val T24,2.28,2.38,3.86,1.59,-1.14,-3.11,1.47,0
9 EDTA val T24,2.11666666666667,2.28666666666667,0.476666666666667,1.98666666666667,-1.01333333333333,-2.36333333333333,1.56666666666667,0
10 EDTA val T24,3.06,2.23,0.500000000000002,1.79,-1.38,-2.34,1.32,0
11 EDTA val T24,2.57,1.88,0.57,2.39,-0.65,-1.3,2.24,0
12 EDTA val T24,2.61333333333333,2.15333333333333,0.693333333333332,1.74333333333333,-1.26666666666667,-2.15666666666667,1.99333333333333,0
13 EDTA val T24,1.54,1.62,2.42,1.48,-1.09,-2.43,0.739999999999999,0
14 EDTA val T24,3.10333333333333,2.59333333333333,-0.346666666666666,1.81333333333333,-1.02666666666667,-1.66666666666667,1.31333333333333,0
15 EDTA val T24,2.07,1.39,1.39,2.07,-1.46,-2.42,0.95,0
16 EDTA val T24,2.37666666666667,2.45666666666667,-0.513333333333333,1.52666666666667,-1.30333333333333,-2.23333333333333,1.87666666666667,0
17 EDTA val T24,2.08,1.86,-0.74,1.17,-1.8,-2.26,0.56,0
18 EDTA val T24,2.22,1.67,-0.1,2.18,-1.09,-1.99,2.34,0
19 EDTA val T24,2.53666666666667,2.42666666666667,-0.0533333333333326,1.28666666666667,-2.00333333333333,-1.88333333333333,0.876666666666667,0
20 EDTA val T24,1.74,1.82,0.13,1.49,-1.41,-2.61,1.52,0
21 EDTA val T24,1.97666666666667,2.23666666666667,-0.413333333333334,1.56666666666667,-2.06333333333333,-2.04333333333333,0.696666666666666,0
22 EDTA val T24,2.76666666666667,2.68666666666667,0.0666666666666669,2.05666666666667,-1.26333333333333,-2.06333333333333,1.99666666666667,0
23 EDTA val T24,1.23333333333333,1.25333333333333,1.21333333333333,0.993333333333334,-1.61666666666667,-2.30666666666667,0.563333333333334,0
24 EDTA val T24,2.15333333333333,1.48333333333333,0.243333333333332,2.62333333333333,-1.32666666666667,-2.85666666666667,1.86333333333333,0
25 EDTA val T24,2.55666666666667,3.20666666666667,-0.133333333333333,1.98666666666667,-0.793333333333333,-1.08333333333333,2.86666666666667,0
26 EDTA val T24,2.13,1.44,1.54,1.46,-2.64,-2.2,0.25,0
27 EDTA val T24,2.19333333333333,1.59333333333333,1.07333333333333,2.62333333333333,-0.726666666666669,-2.77666666666667,1.97333333333333,0
28 EDTA val T24,2.89333333333333,2.47333333333333,-0.226666666666668,1.60333333333333,-1.52666666666667,-2.26666666666667,1.31333333333333,0
29 EDTA val T24,2.8,2.33,-0.57,1.07,-2.29,-2.17,0.74,0
30 EDTA val T24,2.17666666666667,2.10666666666667,0.436666666666667,2.78666666666667,-1.01333333333333,-2.71333333333333,2.39666666666667,0
31 EDTA val T24,2.65,1.45,1.23,2.36,-1.0,-2.84,1.55,0
32 EDTA val T24,1.68,1.42,1.54,2.14,-1.07,-2.38,2.07,0
33 EDTA val T24,2.27,1.48,0.32,2.59,-0.91,-2.54,2.37,0
34 EDTA val T24,2.59333333333333,1.90333333333333,0.353333333333333,2.51333333333333,-1.33666666666667,-2.15666666666667,2.26333333333333,0
35 EDTA val T24,2.95333333333333,2.20333333333333,0.283333333333333,1.47333333333333,-2.48666666666667,-2.36666666666667,1.39333333333333,0
36 EDTA val T24,2.18,1.67,0.510000000000002,2.15,-0.469999999999998,-2.82,1.58,0
37 EDTA val T24,2.35333333333333,2.28333333333333,0.753333333333334,2.66333333333333,0.263333333333333,-2.54666666666667,2.77333333333333,0
38 EDTA val T24,2.38333333333333,1.91333333333333,-1.34666666666667,0.513333333333335,-2.52666666666667,-2.58666666666667,0.183333333333335,0
39 EDTA val T24,2.59666666666667,2.05666666666667,0.536666666666666,2.49666666666667,-0.713333333333334,-2.28333333333333,2.83666666666667,0
