sample,BTG3,CD69,CXCR1,CXCR2,FCGR3A,JUN,STEAP4
251/1,5.277732034,3.326092084,3.290965554,4.923735674,-1.190151947,2.293355914,3.543481474
251/3,4.104359047,2.687909757,2.886279417,4.518201647,-1.743624572,2.234626637,3.139772057
260/1,4.620407342,3.605576172,2.508187722,4.781936392,-2.311264593,2.321776612,2.151420262
260/3,4.104934877,2.122390117,2.971812527,4.637688107,-2.26669786,3.077586557,3.584771857
65/2,4.420923561,3.375835251,0.502056841,1.861848911,-2.441783636,3.690488011,1.954839421
65/3,3.541346075,1.047600225,0.505259185,2.033990455,-2.447119792,2.091542725,2.012898905
75,3.946905325,1.969776585,-0.42319801,0.978910165,-2.981217904,0.038542956,0.935196675
80,4.149597282,2.524505892,0.455091778,1.651845352,-2.340874613,2.781503282,1.071014022
82,3.595694004,1.396745894,1.010617864,2.547299314,-2.409237724,2.381563224,2.487524424
85,3.815428854,0.541613684,-0.563278849,1.098358534,-2.894338039,1.027617744,1.372453994
88,3.964457894,2.467572584,-0.302921564,0.958087674,-2.645201023,2.167931924,1.098950854
90,3.757607384,0.8216552,1.52272703,2.880897594,-1.931153224,2.411174674,2.807485174
99,3.848618383,2.455094943,1.239851283,2.632576753,-2.014251698,2.643335963,2.335908653
CRC 106/1,3.520021068,0.864074248,4.626939888,6.576184328,-1.500963994,1.314320468,3.556564338
CRC 106/2,4.044917293,2.243166093,1.166923993,2.988376573,-2.520649371,1.730136653,1.952734533
CRC 106/3,3.533164584,2.456178564,2.300532244,4.431033344,-2.044976041,3.323957414,3.152994944
CRC 143/1,4.435778973,2.920850413,-0.88273466,0.599560313,-3.102948947,2.748885003,0.622819383
CRC 17/1,3.590460325,0.994997729,2.541286645,4.307015215,-1.778822221,2.548458215,2.454507395
CRC 178/2,4.063947854,2.825018874,2.072440664,3.691459184,-1.848966408,3.550304044,2.470305024
CRC 180/1,3.95912785,2.39816618,-0.03165719,1.65311611,-2.80878808,1.83157162,1.3972886
CRC 180/2,4.244248903,3.247142823,-0.364935034,1.149551333,-2.767077811,2.698127093,1.419948443
CRC 180/3,3.937545907,3.019154827,-0.094584553,1.381905287,-2.938543784,2.320536577,1.418124097
CRC 2/1,5.238212016,3.806554256,1.342805346,2.649196186,-2.165562174,2.506960066,2.153711926
CRC 214/3,4.372119582,2.731494392,1.955928802,3.878087792,-1.846006107,1.412112042,3.197943582
CRC 219/1,4.154703408,2.843692728,0.06267349,1.539553948,-2.706762715,3.934387338,1.690071058
CRC 219/2,4.414958976,1.927306466,1.079527956,2.625585496,-2.359205559,1.032810126,2.363308806
CRC 219/3,4.326062665,2.979686555,-0.741837906,0.876356425,-3.034474085,2.580168785,0.807156085
CRC 232/3,4.244476903,2.130744333,1.937682443,3.517072023,-1.610327758,0.882130433,1.968786543
CRC 239/3,3.934542561,2.893028591,-1.081701977,0.457098161,-3.372212678,1.224026521,-0.001500598
CRC 5/1,4.050561033,1.850330353,2.743728903,5.058512443,-1.809855619,3.165365763,2.731590823
CRC 5/3,4.767973906,2.490753826,1.953128896,3.455409116,-1.764445571,0.794766566,1.830742196
CRC 65/1,4.924108833,3.491090253,-0.359404449,1.337255623,-3.26616871,2.049961543,0.434395533
CRC 78,4.546263447,3.684847647,1.351511387,2.537884947,-1.54592797,-1.173729673,1.899397387
CRC 83,3.646934134,0.566642864,-1.83546621,0.052556654,-3.5600294,1.600801494,-0.155251176
CRC 95,4.255205617,3.000413667,1.415002027,3.104812937,-2.295619097,3.340611987,2.292953307
EDTA 8759-0,4.817672868,4.029047148,-3.240862152,-1.374234222,-4.435365112,3.905789358,-1.349939592
EDTA 8759-24,2.487911733,0.002988533,-0.299882567,0.438437063,-2.936378641,-2.155084377,0.034579293
EDTA 8760-0,5.138394021,4.286486061,-3.062552243,-1.213903139,-4.524974651,5.033760941,-0.443909919
EDTA 8760-24,2.53570072,0.00235561,-0.41278235,0.58328374,-3.25579353,-2.16032643,1.17974317
EDTA 8761-0,4.89731978,3.80393746,-3.516289795,-1.46070925,-4.787569799,4.1977945,-1.40727768
EDTA 8762-0,5.01769401,3.70526764,-2.93984852,-1.01186336,-4.220837956,3.56173269,-1.06049451
EDTA 8762-24,2.83141575,-0.12095877,0.57678627,1.15712247,-2.63510824,-2.26075765,0.47548028
EDTA 8764-0,5.088027202,3.744087032,-2.559588102,-0.825540708,-4.234320417,4.112225652,-0.409920048
EDTA T0 1,4.806123858,6.744261858,-2.309797623,-0.855753622,-4.484568664,4.311283228,-0.391292702
EDTA T0 2,4.76626711,7.31292578,-2.713283223,-1.240872926,-4.469412004,3.23918601,-0.68070948
EDTA T0 3,5.606140327,7.202059167,-2.504159309,-0.963176436,-3.61713259,5.207399737,-0.505035623
EDTA T0 6,5.88121766,6.42558114,-2.716086662,-1.06255838,-4.281642666,4.53705042,-0.61684359
EDTA T0 7,4.890123195,4.726372515,-2.504607425,-0.831612425,-4.070336603,4.362895785,-0.885460955
EDTA T24 1,2.564701666,2.592278206,0.495789716,2.630848396,-1.995154067,-1.282079334,2.259508336
EDTA T24 2,2.457025198,4.056701878,-0.050718812,2.783056438,-1.636293082,-0.888968732,2.068043578
EDTA T24 3,3.674899244,2.797278474,-0.101830506,1.982086534,-1.802232537,0.229414864,1.991393614
EDTA T24 4,2.402594861,4.702163181,1.226084001,3.306768911,-0.662279649,-0.484723449,3.414999301
EDTA T24 5,2.788463239,1.922349359,-0.965641501,2.085773559,-2.328811861,0.064118739,0.604905459
EDTA T24 7,2.452100854,2.091380774,-0.071261876,2.318372754,-1.594136596,-0.766004626,1.555009224
EDTA T6 1,4.437663741,3.923478741,-1.577742309,0.038341861,-3.769348562,0.961532391,0.673626801
EDTA T6 2,4.194052683,5.147803433,-1.842814139,-0.366847127,-3.623320202,1.677683393,0.784297953
EDTA T6 3,5.953474605,5.943266815,0.276917145,1.289470565,-2.378626739,4.385278815,2.136127885
EDTA T6 4,3.587265632,5.221024642,-1.193624353,0.367455872,-2.696970513,0.634282582,1.154529232
